5mm Non Faux Teak,6mm Non Faux Teak,Product Description,Price
,Ascend,,
17258,24529,Ascend FS128T - 2013 - cockpit kit,91.95
17243,24526,Ascend FS128T - 2013,266.95
28907,28906,Ascend FS128T - 2016,320.34
,Diablo,,
17233,24513,Diablo Paddle Sport Amigo,207.95
,Freedom Hawk,,
16175,25596,Freedom Hawk Pathfinder 14 - 2012,45.95
,Hobie,,
13364,24496,Hobie Mirage Outback - 2013,54.95
22352,24538,Hobie Mirage Outback - 2015,106.95
17001,24497,Hobie Mirage Pro Angler 12 - 2013,128.95
17270,24498,Hobie Mirage Pro Angler 12- Complete Kit - 2013,207.95
30307,30306,Hobie Mirage Pro Angler 12 - 2017,207.95
16189,24499,Hobie Mirage Pro Angler 14 Complete kit - 2013-2014,207.95
28693,28723,Hobie Pro Angler 14 Complete Kit - 2017,222.95
22379,24546,Hobie Mirage Adventure Island - 2015 & 2016,118.95
21166,24549,Hobie - Mirage Pro Angler 14 - 2015-2016,222.95
17402,24550,Hobie - Mirage Pro Angler 12 - 2014-2016,207.95
17718,24530,Hobie Pro Angler 17T - 2015 & 2016,288.95
17742,24531,Hobie Revolution 13 - 2015 & 2016,69.95
18420,24500,Hobie Revolution 13 - 2009-2014,91.95
32413,32412,Hobie Compass - 2018,207.95
34539,34540,Hobie - Pro Angler 12 2018 - Interior,207.95
34541,34543,Hobie - Pro Angler 12 2018 - Full,320.34
,Jackson Kayak,,
13368,24501,Jackson Big Rig - 2014,128.95
14743,24502,Jackson Big Tuna - 2013,128.95
17000,24503,Jackson Cuda 12 - 2013-2015,91.95
17263,24528,Jackson Coosa - 2012,91.95
17759,24533,Jackson Coosa HD - 2015,160.95
17743,24534,Jackson Kilroy - 2013,160.95
18765,24535,Jackson Cuda 12 - 2015,160.95
14744,24504,Jackson Cuda 14 - 2013,91.95
,Kaku,,
22548,24539,Kaku Kahuna 12 - 2015,266.95
,Lifetime,,
16607,24547,Lifetime - Kokanee,128.95
,Malibu,,
17006,24505,Malibu Stealth 14 -2011,69.95
,Native,,
17506,24532,Native Redfish 12 - 2012,91.95
17241,24514,Native Ultimate 12' - 2011,54.95
17226,24548,Native Watercraft - Ultimate 14.5,128.95
14745,24506,Native Watercraft Slayer 12 - 2013,91.95
17032,24507,Native Watercraft Slayer 13 Propel - 2014,128.95
17002,24508,Native Watercraft Slayer 14.5 - 2013,91.95
17224,24512,Native Watercraft Versaboard - 2013,266.95
28863,28862,Native Watercraft - FX15 Tandem - 2017,266.95
,NuCanoe,,
22353,24536,NuCanoe Pursuit - 2015-2016,207.95
21477,24537,NuCanoe Frontier - 2012-2014,207.95
22606,24540,NuCanoe Frontier - 2015,207.95
23952,24542,NuCanoe Frontier -2016,207.95
31409,31410,NuCanoe F10â€”2013-2018,128.95
32719,32718,NuCanoe Flint - 2018,106.95
,Ocean Kayak,,
22188,24541,Ocean Prowler 13 - 2015 -2016,91.95
22189,24543,Ocean Trident 13 - 2015 - 2016,91.95
22190,24544,Ocean Caper Angler - 2015 - 2016,128.95
22192,24545,Ocean Prowler Big Game - 2015 - 2016,128.95
,Old town,,
17235,24524,Old Town Predator - 2013,160.95
18695,24552,Old Town Predator Angler 13- 2014-2016,266.95
22186,24551,Old Town Predator XL - 2015-2016,128.95
23729,24553,Old Town Predator XL - 2015-2016,128.95
,Wilderness Systems,,
13370,24509,Wilderness Systems Ride 115X - 2013,85.95
13427,24510,Wilderness Systems Ride 135 - 2013-2016,128.95
17231,24527,Wilderness Systems Tarpon 120 - 2006,128.95